PluginName;FormID;PerkName;Description;SkillType;SkillLevel
Ordinator - Perks of Skyrim.esp;06014901;Alteration Mastery;Cast Alteration spells for 50% less Magicka, and Alteration spells last 1% longer per level of Alteration.;Alteration;20
Skyrim.esm;000153CD;Alteration Dual Casting;Dual casting an Alteration spell empowers it, increasing effectiveness and cost.;Alteration;20
Skyrim.esm;000D7999;Mage Armor;Protection spells like Stoneflesh are 100% stronger if not wearing armor.;Alteration;20
Skyrim.esm;000D799A;Mage Armor;Protection spells like Stoneflesh are 150% stronger if not wearing armor.;Alteration;50
Skyrim.esm;000D799B;Mage Armor;Protection spells like Stoneflesh are 200% stronger if not wearing armor.;Alteration;80
Skyrim.esm;000581FC;Distorted Shape;When you gain an armor spell in combat (or enter combat with an active armor spell), you become intangible and unable to be affected by spells or attacks for 10 seconds or until you perform an offensive or defensive action.;Alteration;40
Ordinator - Perks of Skyrim.esp;0601BB2F;Geomancer;If wearing robes and no light or heavy armor, you take 30% less damage from attacks while charging or concentrating on a spell.;Alteration;30
Ordinator - Perks of Skyrim.esp;0601B584;Philosopher's Stone;Once a day, generates gold equal to four times your Alteration skill level.;Alteration;30
Ordinator - Perks of Skyrim.esp;0602CB20;Vancian Magic;Cast magic like the wizards of old. Your next 20 spells do not use Magicka and are twice as effective. When you run out of spells, you are unable to cast spells until you rest by sleeping at an inn or in your home.;Alteration;30
Ordinator - Perks of Skyrim.esp;0601B585;Wild Shrines;Five shrines dedicated to nature's mysteries can be found in Skyrim. Each shrine grants a permanent bonus to one school of magic, making all spells from that school 15% more powerful or last 30% longer.;Alteration;30
Skyrim.esm;000581F7;Energy Shield;If wearing robes and no light or heavy armor, reduces incoming attack and elemental damage by 35% but you lose Magicka equal to the amount of Health lost. The damage reduction gradually diminishes as Magicka falls below half. The energy shield is disabled when your hands are lowered.;Alteration;50
Ordinator - Perks of Skyrim.esp;0601B58E;Spellblade;Whenever you cast a spell with one hand, you deal 20% more attack damage for 4 seconds.;Alteration;40
Ordinator - Perks of Skyrim.esp;0601D661;Alter Self: Resistances;You may choose two resistances to increase by 25%.;Alteration;40
Ordinator - Perks of Skyrim.esp;0601B586;Welloc's Dormant Arcana;Choose a spell type (Armor, Cloak, Conjure Daedra, Conjure Undead, Invisibility) and 3 magic effects (Fortify, Regenerate, Waterwalking, ...). The chosen magic effects will activate when you are affected by the chosen spell type.;Alteration;60
Ordinator - Perks of Skyrim.esp;0602CB0D;Quadratic Wizard;Whenever you recharge your Vancian Magic spells, you gain 1 additional Vancian Magic spell for each 10 points of base Magicka.;Alteration;50
Ordinator - Perks of Skyrim.esp;0601B5AA;Command Lock;Once every 6 ingame hours, you can weaken an Expert or lower lock, reducing its difficulty to zero.;Alteration;40
Ordinator - Perks of Skyrim.esp;0601BB16;Throne of Nirn;Standing still for 5 seconds while holding a spell summons a pillar of earth under your feet that carries you into the air and out of melee range. While standing on the pillar, your spells are 20% more powerful or last 40% longer. This effect is disabled when your hands are lowered.;Alteration;80
Ordinator - Perks of Skyrim.esp;0601B57F;Intuitive Magic;Novice spells of any school cost 100% less Magicka to cast.;Alteration;50
Ordinator - Perks of Skyrim.esp;0601B580;Intuitive Magic;Novice and apprentice spells of any school cost 100% less Magicka to cast.;Alteration;80
Ordinator - Perks of Skyrim.esp;0602B56F;Alter Self: Attributes;You may choose an attribute (Health, Magicka, Stamina) to increase by 50 points.;Alteration;60
Ordinator - Perks of Skyrim.esp;0601B591;Home Mythal;Summons a permanent magical field at the location where you learn this perk. Alteration spells gain x2 duration if cast within 5000 feet, and x20 duration if cast within 250 feet. Additionally, Vancian Magic can be recharged by sleeping within 250 feet.;Alteration;60
Ordinator - Perks of Skyrim.esp;0601BB34;Energy Roil;Whenever you cast a spell with one hand, reduces the armor of nearby enemies within 10 feet by 150 points for 4 seconds.;Alteration;70
Ordinator - Perks of Skyrim.esp;0602CB1C;Dungeon Master;Whenever you recharge your Vancian Magic spells, you may choose less or more spells in exchange for increased or decreased spell effectiveness, and/or choose one of three metamagic enhancements. Your choice remains in effect until your next rest.;Alteration;70
Ordinator - Perks of Skyrim.esp;0601D0DD;The Monarch;You cannot regenerate Magicka and lose 10 points of Magicka per second but absorb 25 points of Magicka per second from living creatures within 20 feet, whether friend or foe.;Alteration;70
Ordinator - Perks of Skyrim.esp;0601D0CD;Aurification;Once every 12 ingame hours, activate a paralyzed target below half Health to transmute its body into gold worth 100 times its level, killing the target. Has a 50% chance of creating gold ore. No effect on essential targets.;Alteration;80
Ordinator - Perks of Skyrim.esp;0601B59F;Emergency Teleport;When you fall below 15% Health due to combat damage, you briefly turn invulnerable and teleport back to the location where you entered combat.;Alteration;90
Ordinator - Perks of Skyrim.esp;0602BAD6;Dimension Door;"Grants the ""Dimension Door"" power. At will, creates a magical doorway that teleports you to the location of your Home Mythal.";Alteration;80
Ordinator - Perks of Skyrim.esp;0601B5A7;Nullifier;You radiate a dampening field, preventing enemies within 25 feet from regenerating Magicka and Stamina.;Alteration;90
Ordinator - Perks of Skyrim.esp;0601BB39;Rend Resistances;Whenever you attack with a weapon, reduces the magic resistance of nearby enemies within 10 feet by 15% for 4 seconds.;Alteration;90
Ordinator - Perks of Skyrim.esp;0602C042;Arcane Thesis;"Grants the ""Arcane Thesis"" power: use it to master the spell you are dual casting. A mastered spell is 20% more powerful or lasts 40% longer. Only one spell can be mastered.";Alteration;100
Skyrim.esm;000BEE97;Enchanting Mastery;New enchantments are 20% stronger. Soul gems provide 2 extra weapon charge points per level of Enchanting.;Enchanting;0
Skyrim.esm;000C367C;Enchanting Mastery;New enchantments are 40% stronger. Soul gems provide 4 extra weapon charge points per level of Enchanting.;Enchanting;20
Ordinator - Perks of Skyrim.esp;06038484;Last Word;Scrolls are 2% more powerful or last 4% longer per level of Enchanting.;Enchanting;20
Ordinator - Perks of Skyrim.esp;0603ECB5;Last Word;Scrolls are 4% more powerful or last 8% longer per level of Enchanting.;Enchanting;50
Ordinator - Perks of Skyrim.esp;061C253E;Last Word;Scrolls are 6% more powerful or last 12% longer per level of Enchanting.;Enchanting;80
Skyrim.esm;00058F7C;Soul Siphon;Death blows with enchanted weapons to creatures, but not people, trap 5% of the victim's soul, recharging the weapon. Does not apply to staves.;Enchanting;20
Ordinator - Perks of Skyrim.esp;06038483;Staff Channeler;When a staff is equipped, all weapon enchantments drain 25% less charge and you gain a small amount of Enchanting experience in combat.;Enchanting;30
Ordinator - Perks of Skyrim.esp;060389FC;Gem Dust;You may choose to destroy a Flawless Gem when you begin the enchanting process and sprinkle its dust on the Arcane Enchanter. New enchantments are 25% stronger when placed upon an item of the type corresponding to the gem.;Enchanting;40
Ordinator - Perks of Skyrim.esp;0603847C;Secretkeeper;When a staff is equipped in your left hand, your attacks deal 25% more damage and critical damage. When a staff is equipped in your right hand, your spells and scrolls are 25% more effective.;Enchanting;40
Skyrim.esm;00108A44;Thunderstruck;Weapon enchantments are 25% more effective when delivered by a power attack (or 50% for a two-handed power attack).;Enchanting;30
Ordinator - Perks of Skyrim.esp;06069036;Spellscribe;"Grants the ""Spellscribe"" power: use it to store the spell you are dual casting. Your power attacks and power bashes unleash the stored spell for free, with a cooldown based on Enchanting skill. Only works with spells that affect other targets.";Enchanting;40
Ordinator - Perks of Skyrim.esp;060394FA;Preserver;Learning an item's enchantment does not destroy it.;Enchanting;50
Ordinator - Perks of Skyrim.esp;060394F6;Flame of Magnus;While casting or concentrating on a staff in your left hand, you may attack with your right hand, dealing 50% more damage and critical damage.;Enchanting;50
Ordinator - Perks of Skyrim.esp;0603848A;Staff Recharge;Equipped staves regenerate 5 points of charge per second, up to their charge level when you last equipped them or recharged them with a soul gem.;Enchanting;60
Ordinator - Perks of Skyrim.esp;06039A6D;Regalia;New enchantments placed upon robes, circlets, hoods and necklaces are 30% stronger.;Enchanting;60
Skyrim.esm;00058F7D;Might and Magic;You are adept at weaving blade and magic. Spells cast with your left hand are 10% more effective if you are wielding a weapon in your right hand. Attacks with a weapon in your right hand deal 10% more damage if you are holding a spell in your left hand.;Enchanting;60
Skyrim.esm;00058F82;Power Echoes;Spellscribe activates twice before going on cooldown.;Enchanting;70
Ordinator - Perks of Skyrim.esp;060389FA;Attunement;All enchantments on equipped weapons and armor are 10% more powerful and last 10% longer.;Enchanting;70
Ordinator - Perks of Skyrim.esp;0603ECBD;Charge Tap;"Grants the ""Charge Tap"" power. At will, drains a quarter of your current weapon charge to restore Health by 15% of the amount drained and Magicka and Stamina by 25% of the amount drained. (If you have two enchanted weapons equipped, the drain is split.)";Enchanting;70
Skyrim.esm;00058F7F;Twin Enchantment;Can place two enchantments upon the same item.;Enchanting;80
Ordinator - Perks of Skyrim.esp;0603ECB4;You Shall Not Pass;Simultaneously (within 1 second) using an enchanted staff in your left hand and striking with an enchanted weapon in your right hand releases a flash of light that staggers enemies and deals damage equal to half your Enchanting skill level.;Enchanting;90
Ordinator - Perks of Skyrim.esp;060389F1;Heart of the Sun;Use an equipped staff as an energy source, causing it to lose charge at a rate of 15 points per second but making your weapon enchantments 1% more effective per 50 points of charge remaining in the staff. (This effect stacks if more than one staff is equipped.) Sheathe to cancel.;Enchanting;80
Ordinator - Perks of Skyrim.esp;06039A68;Arcane Nexus;"You may choose to upgrade one arcane enchanter to an Arcane Nexus for 2500 gold. New enchantments created at an Arcane Nexus are 25% stronger. Can be ""Disassembled"" by sneaking, allowing you to upgrade another.";Enchanting;90
Ordinator - Perks of Skyrim.esp;060389F3;Miracle;You put your heart and soul into the next item you enchant at an Arcane Nexus, placing up to three enchantments upon it that are 25% stronger. Try as you might, you will never be able to repeat this feat.;Enchanting;100
Ordinator - Perks of Skyrim.esp;0600ABE1;Archery Mastery;Bows and crossbows do 25% more damage.;Archery;0
Ordinator - Perks of Skyrim.esp;0600ABE2;Archery Mastery;Bows and crossbows do 50% more damage, and critical strikes with bows and crossbows do 2% more critical damage per level of Archery.;Archery;20
Ordinator - Perks of Skyrim.esp;060064D3;Wingstrike;Bashing with a bow or crossbow staggers the target. Bows and crossbows deal 20% more damage to that target for 10 seconds.;Archery;20
Ordinator - Perks of Skyrim.esp;060064D7;Wingstrike;Bashing with a bow or crossbow always staggers the target. Bows and crossbows deal 40% more damage to that target for 10 seconds.;Archery;50
Ordinator - Perks of Skyrim.esp;06005F3E;Long Shot;Bows and crossbows deal up to 40% more damage to targets beyond 50 feet. The damage bonus increases as distance increases.;Archery;30
Ordinator - Perks of Skyrim.esp;06005F3F;Long Shot;Bows and crossbows deal up to 60% more damage to targets beyond 50 feet. The damage bonus increases as distance increases.;Archery;60
Ordinator - Perks of Skyrim.esp;06005F40;Long Shot;Bows and crossbows deal up to 80% more damage to targets beyond 50 feet. The damage bonus increases as distance increases.;Archery;90
Ordinator - Perks of Skyrim.esp;06006A3B;Clean Kill;Bows and crossbows deal 20% more damage to a target at full Health.;Archery;20
Skyrim.esm;00058F61;Steady Hand;Pressing Block while aiming will zoom in your view.;Archery;30
Skyrim.esm;00103ADA;Steady Hand;Pressing Block while aiming will zoom in your view and slow time by 25%.;Archery;60
Skyrim.esm;00103ADB;Steady Hand;Pressing Block while aiming will zoom in your view and slow time by 50%.;Archery;90
Skyrim.esm;00058F64;Crippling Shot;Arrows and bolts slow a target within 25 feet by 10% for 20 seconds. This effect stacks.;Archery;40
Skyrim.esm;00051B12;Hunter's Discipline;Recover twice as many arrows and bolts from dead bodies.;Archery;40
Ordinator - Perks of Skyrim.esp;06005F41;Thread the Needle;Bows and crossbows ignore 25% armor if the target is not moving.;Archery;40
Ordinator - Perks of Skyrim.esp;06005F42;Thread the Needle;Bows and crossbows ignore 50% armor if the target is not moving.;Archery;70
Skyrim.esm;00058F62;Pinning Shot;Arrows and bolts have a chance to stagger a target within 50 feet. More effective against targets with a lower remaining Health percentage. No effect on massive targets.;Archery;50
Ordinator - Perks of Skyrim.esp;060064C0;Snipe;Shooting targets you haven't shot within the past 10 seconds inflicts a critical strike that deals three times critical damage, and any weapon enchantments applied by the shot are twice as effective.;Archery;60
Skyrim.esm;00105F19;Quick Shot;Can draw a bow or reload a crossbow 30% faster.;Archery;60
Skyrim.esm;00058F63;Ranger;Can move at full speed with a drawn bow. (Do not take this perk while sneaking.);Archery;50
Ordinator - Perks of Skyrim.esp;060064AE;Ambush Predator;After standing still for 6 seconds with a bow or crossbow out, it does 25% more damage until you move.;Archery;70
Ordinator - Perks of Skyrim.esp;06006FB0;Beak and Talon;Your shots disrupt targets within 25 feet, disarming them if they are power attacking and knocking them down if they are staggered.;Archery;70
Ordinator - Perks of Skyrim.esp;06118005;Focus on the Prey;Cannot be staggered while holding a drawn bow or reloading a crossbow.;Archery;60
Ordinator - Perks of Skyrim.esp;06006FAB;Three Crows;Shooting a target beyond 25 feet three times in rapid succession, leaving less than 2.75 seconds between each hit, deals bonus damage equal to 15% of the target's current Health (max. 150 damage) and knocks the target to the ground.;Archery;90
Ordinator - Perks of Skyrim.esp;060064D0;Hailstorm;Attack 8% faster with bows and crossbows for 10 seconds after shooting a fully drawn bow or crossbow in combat. This effect stacks.;Archery;80
Ordinator - Perks of Skyrim.esp;060064C6;Hawkeye;"Grants the ""Hawkeye"" power. Once a day, slow time and focus on your foes for 10 seconds, looking for opportunities for a killing shot. Finding their vulnerability takes 1 second per 125 Health. Once you do, you may shoot them for an instant kill.";Archery;80
Ordinator - Perks of Skyrim.esp;06006FAC;Trick Arrows;Able to upgrade many types of arrows at a forge or anvil, adding a bonus effect (Force, Immolation, Freezing, Grounding, Maze or Death) based on its material.;Archery;80
Ordinator - Perks of Skyrim.esp;06007526;Perfect Aim;Bows deal 25% more damage if the shot strikes a target within 2 seconds after the bow is fully drawn. Crossbows deal triple damage to targets with 20% or less Health remaining.;Archery;100
Ordinator - Perks of Skyrim.esp;06010258;Lion's Arrow;"Grants the ""Lion's Arrow"" power: use it to store the spell you are dual casting. Shooting a fully drawn bow in combat also releases the stored spell in the direction of the crosshair. Only works with spells that affect other targets.";Archery;90
Ordinator - Perks of Skyrim.esp;06010259;Hunt Together;When fighting only one enemy, hitting the target with a bow or crossbow manifests a Spirit Wolf for 30 seconds. The wolf deals damage equal to 15% of your current Stamina. This effect has a 30 second cooldown per target.;Archery;90
Ordinator - Perks of Skyrim.esp;06008B1B;Block Mastery;Block 10% more damage.;Block;0
Ordinator - Perks of Skyrim.esp;06008B1C;Block Mastery;Block 20% more damage.;Block;20
Ordinator - Perks of Skyrim.esp;06008B26;Timed Block;Assume a defensive position for 1 second after raising your shield or weapon, blocking 30% more damage and staggering attackers in melee range. (If you do not block an attack during this time, you cannot attempt another Timed Block for 2 seconds.);Block;20
Ordinator - Perks of Skyrim.esp;06008B27;Timed Block;Assume a defensive position for 1 second after raising your shield or weapon, blocking 30% more damage and staggering attackers in melee range. (If you do not block an attack during this time, you cannot attempt another Timed Block for 1 second.);Block;50
Ordinator - Perks of Skyrim.esp;0600A66C;Poke the Dragon;After a successful Timed Block within 8 feet, you may retaliate with increased strength, increasing your attack damage and critical strike damage against the attacker by 25% for 5 seconds.;Block;30
Skyrim.esm;000D8C33;Quick Reflexes;Time slows down if you are blocking during an enemy's power attack.;Block;40
Skyrim.esm;00058F68;Deflect Arrows;While blocking with a shield or weapon, arrows do half damage. Arrows that hit the shield do no damage.;Block;30
Skyrim.esm;00058F67;Power Bash;Able to do a power bash by holding down Attack while blocking.;Block;40
Ordinator - Perks of Skyrim.esp;06008B32;Apocalypse Proof;Perform a Timed Block to mitigate incoming fire, frost and shock spells and effects, reducing their damage by 50%.;Block;40
Ordinator - Perks of Skyrim.esp;0600A675;Apocalypse Proof;Perform a Timed Block to mitigate incoming fire, frost and shock spells and effects, reducing their damage to zero.;Block;70
Ordinator - Perks of Skyrim.esp;06009621;Dominion;Take 25% less attack damage from any direction when blocking in combat.;Block;50
Skyrim.esm;0005F594;Skull Rattler;Bashing deals 3% more damage per point of Stamina.;Block;50
Ordinator - Perks of Skyrim.esp;06008B3E;Timing Streak;Performing 3 successful Timed Blocks in a row completes a Timing Streak, restoring 75 points of Stamina. (Taking an unblocked attack or blocking an attack outside the timed block window breaks the combo.);Block;60
Skyrim.esm;00106253;Block Runner;Can move at full speed while blocking.;Block;70
Ordinator - Perks of Skyrim.esp;06008B2E;Dragon Tail;After a successful Timed Block, bashing the attacker within 5 seconds deals double damage.;Block;60
Ordinator - Perks of Skyrim.esp;060090B4;Hold the Line;During a Timed Block, allies within 10 feet gain 250 points of armor rating.;Block;90
Ordinator - Perks of Skyrim.esp;06008B33;Mocking Blow;Power bashing with a weapon infuriates living targets for 30 seconds. They won't flee from combat but can't regenerate Stamina, lose 15 points of Stamina per second and you take no damage from their attacks during a Timed Block.;Block;70
Ordinator - Perks of Skyrim.esp;0600A665;Cast Aside;Interrupting an attack with a power bash with a shield knocks the attacker to the ground. Targets can only be affected once every 30 seconds.;Block;80
Ordinator - Perks of Skyrim.esp;06008B44;Break Their Teeth;Completing a Timing Streak violently disarms the last attacker, staggering all within an 8 foot radius.;Block;80
Ordinator - Perks of Skyrim.esp;0600A674;Deliverance;Completing a Timing Streak grants 10% extra attack damage for 90 seconds. This effect stacks.;Block;90
Skyrim.esm;00058F6A;Unstoppable Force;Able to sprint with a shield raised. This knocks enemies in your path to the ground, but costs 10 points of Stamina per second. Enemies can only be affected once every 10 seconds.;Block;90
Ordinator - Perks of Skyrim.esp;060090BB;Dragon Scales;You take no damage from attacks during a Timed Block as long as you have Stamina remaining.;Block;100
Ordinator - Perks of Skyrim.esp;06007AB2;Heavy Armor Mastery;Armor rating of Heavy Armor increased by 20%. You gain a small amount of Heavy Armor experience when wearing at least two pieces of Heavy Armor in combat.;Heavy Armor;0
Ordinator - Perks of Skyrim.esp;06007AB3;Heavy Armor Mastery;Armor rating of Heavy Armor increased by 40%. You gain a small amount of Heavy Armor experience when wearing at least two pieces of Heavy Armor in combat.;Heavy Armor;20
Skyrim.esm;00058F6C;Battle Weary;Tired enemies have a harder time defeating your armor. You take up to 20% less attack damage from enemies with half or less Stamina, if wearing all Heavy Armor. The lower their Stamina, the less damage you take.;Heavy Armor;30
Skyrim.esm;000BCD2B;Cushioned;You take half damage from falling if wearing all Heavy Armor.;Heavy Armor;20
Ordinator - Perks of Skyrim.esp;06008029;Cushioned;You take no damage from falling if wearing all Heavy Armor.;Heavy Armor;50
Skyrim.esm;00058F6F;Heavy Armor Fit;Armor rating of Heavy Armor increased by 25% if wearing all Heavy Armor.;Heavy Armor;30
Ordinator - Perks of Skyrim.esp;0600803A;Break Upon Me;You are immune to basic melee weapon perks (Clash of Champions/Heroes, Denting/Crushing Blows, Bleed Like a Lamb/Dog, Bite Marks). If wearing all Heavy Armor, you take 10% less attack damage from enemies affected by one or more of these perks.;Heavy Armor;60
Ordinator - Perks of Skyrim.esp;06008028;Face of Death;"You no longer need to wear a helmet to benefit from perks that require ""wearing all Heavy Armor"". If you are not wearing a helmet, Heavy Armor pieces have 20% increased armor rating.";Heavy Armor;40
Ordinator - Perks of Skyrim.esp;06008038;Rallying Standard;"Grants the ""Rallying Standard"" power. Once a day, place a banner that grants 150 points of armor and 25% melee damage to allies within 25 feet wearing all Heavy Armor (including you) and prevents them from fleeing. Lasts 60 seconds.";Heavy Armor;40
Ordinator - Perks of Skyrim.esp;0604DFCE;Defiance;You are trained to deflect incoming attacks while wearing all Heavy Armor. Whenever an enemy attacks you, you gain 15 points of armor rating for 10 seconds. This effect stacks.;Heavy Armor;40
Skyrim.esm;00058F6D;Born to Fight;Heavy Armor weighs half as much and slows you down half as much when worn.;Heavy Armor;50
Ordinator - Perks of Skyrim.esp;06008037;Reap the Whirlwind;When struck by a power attack or power bash, your attacks deal 125% more damage to the attacker for 5 seconds if wearing all Heavy Armor.;Heavy Armor;70
Ordinator - Perks of Skyrim.esp;0604DFD3;Revel in Battle;Defiance also increases melee weapon damage by 3% for 10 seconds. This effect stacks.;Heavy Armor;50
Ordinator - Perks of Skyrim.esp;060085A3;Rise Above;If wearing all Heavy Armor, you intimidate enemies within 15 feet. They lose 5% attack damage and you gain 5% attack damage for each enemy affected.;Heavy Armor;80
Ordinator - Perks of Skyrim.esp;0604DFD5;Bedrock;If wearing all Heavy Armor, you have 20% chance to brace for impact when attacked by an enemy, becoming immune to stagger for 4 seconds.;Heavy Armor;60
Ordinator - Perks of Skyrim.esp;06007ABA;Never Kneel;If wearing all Heavy Armor, take 30% less attack damage from power attacks.;Heavy Armor;60
Ordinator - Perks of Skyrim.esp;0600803F;Primal Fear;If wearing all Heavy Armor, walking (but not running) towards living enemies within 30 feet in front of you may break their confidence, causing them to flee for 8 seconds.;Heavy Armor;90
Ordinator - Perks of Skyrim.esp;060085AD;Sovereign;When struck by an attack, subsequent attacks are deflected if wearing all Heavy Armor. You take 75% reduced damage from attacks for 1 second.;Heavy Armor;90
Ordinator - Perks of Skyrim.esp;060DD7FA;Face of the Mountain;When struck by a power attack or power bash, the attacker's strike rebounds forcefully as if striking solid rock, staggering them and potentially knocking them to the ground if wearing all Heavy Armor.;Heavy Armor;100
Ordinator - Perks of Skyrim.esp;060085AC;Lead the Tempest;Sprinting in combat increases the armor of allied people within 20 feet by 25% of your own armor, and the armor of allied Skeletons created by Bone Collector within 20 feet by 15% of your own armor. Lasts 30 seconds.;Heavy Armor;70
Ordinator - Perks of Skyrim.esp;06007AB4;Warbringer;Raising your hands (to draw a weapon or spell) places a Rallying Standard at your location for 120 seconds. This does not count against the limit of one Rallying Standard at a time.;Heavy Armor;80
Ordinator - Perks of Skyrim.esp;0610673A;Doombringer;Rallying Standard also improves Destruction spells and effects by 15%.;Heavy Armor;90
Ordinator - Perks of Skyrim.esp;0600803B;Out of the Inferno;Incoming fire, frost and shock damage reduced by 0.02% per point of armor if wearing all Heavy Armor.;Heavy Armor;80
Skyrim.esm;00105F33;Immortal;If wearing all Heavy Armor, take 75% less damage from attacks below 15% Health (or 20% Health if you are affected by Rallying Standard).;Heavy Armor;90
Ordinator - Perks of Skyrim.esp;0600B149;One-Handed Mastery;One-handed weapons do 25% more damage.;One-Handed;0
Ordinator - Perks of Skyrim.esp;0600B14A;One-Handed Mastery;One-handed weapons do 50% more damage, and critical strikes with one-handed weapons do 2% more critical damage per level of One-Handed.;One-Handed;20
Skyrim.esm;0003AF81;Furious Strength;Power attack damage with one-handed weapons increased by 15% plus 0.1% per point of Stamina. Unlocks decapitations.;One-Handed;40
Skyrim.esm;00052D50;Disciplined Fighter;Reduces the Stamina cost of power attacks with one-handed weapons by 15 points.;One-Handed;20
Ordinator - Perks of Skyrim.esp;06003380;Denting Blows;Attacks with maces reduce the armor rating of armored enemies by 50 points for 15 seconds.;One-Handed;30
Ordinator - Perks of Skyrim.esp;06003381;Denting Blows;Attacks with maces reduce the armor rating of armored enemies by 75 points for 15 seconds.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06003382;Denting Blows;Attacks with maces reduce the armor rating of armored enemies by 100 points for 15 seconds.;One-Handed;90
Ordinator - Perks of Skyrim.esp;06004EFA;Bite Marks;Unblocked attacks with daggers deal an additional 1 point of bleed damage per second for 30 seconds to living targets. This effect stacks.;One-Handed;30
Ordinator - Perks of Skyrim.esp;06004EFB;Bite Marks;Unblocked attacks with daggers deal an additional 2 points of bleed damage per second for 45 seconds to living targets. This effect stacks.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06004EFC;Bite Marks;Unblocked attacks with daggers deal an additional 3 points of bleed damage per second for 60 seconds to living targets. This effect stacks.;One-Handed;90
Skyrim.esm;00106256;Ravage;Dual wielding attacks are 20% faster.;One-Handed;30
Skyrim.esm;00106257;Ravage;Dual wielding attacks are 35% faster.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06002E0D;Bleed Like a Lamb;Attacks with war axes deal an additional 1 point of damage per second for 3 seconds to living targets. When the bleeding stops, they take damage equal to 15% of the Health they lost while bleeding.;One-Handed;30
Ordinator - Perks of Skyrim.esp;06002E10;Bleed Like a Lamb;Attacks with war axes deal an additional 2 points of damage per second for 3 seconds to living targets. When the bleeding stops, they take damage equal to 20% of the Health they lost while bleeding.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06002E13;Bleed Like a Lamb;Attacks with war axes deal an additional 3 points of damage per second for 3 seconds to living targets. When the bleeding stops, they take damage equal to 25% of the Health they lost while bleeding.;One-Handed;90
Ordinator - Perks of Skyrim.esp;06003905;Clash of Champions;Attacks with swords reduce the target's attack damage by 10% for 3 seconds.;One-Handed;30
Ordinator - Perks of Skyrim.esp;06003906;Clash of Champions;Attacks with swords reduce the target's attack damage by 15% for 3 seconds.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06003907;Clash of Champions;Attacks with swords reduce the target's attack damage by 20% for 3 seconds.;One-Handed;90
Ordinator - Perks of Skyrim.esp;06103870;Rogue's Parry;When wielding a one-handed weapon and an empty other hand, attacking with the weapon while the opponent is winding up their attack or drawing a bow deals 40% more damage and delivers a critical strike.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06003E77;Mangle;Attacks with a war axe ignore 25% armor if the target is staggered.;One-Handed;40
Ordinator - Perks of Skyrim.esp;06003E78;Mangle;Attacks with a war axe ignore 50% armor if the target is staggered.;One-Handed;70
Ordinator - Perks of Skyrim.esp;06003E74;Smite;Power attacks with a mace deliver a critical strike that deals three times critical damage (four times against the undead). Targets can only be struck by Smite once every 30 seconds.;One-Handed;40
Ordinator - Perks of Skyrim.esp;06003E75;Smite;Power attacks with a mace deliver a critical strike that deals six times critical damage (eight times against the undead). Targets can only be struck by Smite once every 30 seconds.;One-Handed;70
Ordinator - Perks of Skyrim.esp;06003E79;Cross Cut;Unblocked regular attacks with a sword increase the damage of your power attacks against the target by 25% for 4 seconds.;One-Handed;40
Ordinator - Perks of Skyrim.esp;06003E7A;Cross Cut;Unblocked regular attacks with a sword increase the damage of your power attacks against the target by 50% for 4 seconds.;One-Handed;70
Ordinator - Perks of Skyrim.esp;06004EEE;Savage;Attacks with a dagger deal 25% more damage if you rapidly hit the target three or more times. Resets when 2 seconds pass between hits.;One-Handed;40
Ordinator - Perks of Skyrim.esp;060B0D29;Savage;Attacks with a dagger deal 50% more damage if you rapidly hit the target three or more times. Resets when 2 seconds pass between hits.;One-Handed;70
Skyrim.esm;000CB406;Overrun;Can perform a one-handed sprinting power attack that deals up to 50% more damage and critical damage to a target above half Health. The higher its remaining Health percentage, the more damage and critical damage is dealt.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06061996;Thundering Blow;Whenever you perform a total of 8 or more one-handed regular attacks in combat, your next one-handed power attack is a Thundering Blow that deals double damage and costs no Stamina, resetting the counter.;One-Handed;70
Ordinator - Perks of Skyrim.esp;0600497F;Shieldbiter;Forwards power attacks with a war axe smash through a block, causing the target to drop their shield and take a critical strike that deals five times critical damage.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06004408;Rise Kinsmen;Forwards power attacks with a mace inspire nearby allies, granting them 20% extra attack damage for 15 seconds. This effect stacks.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06002E07;Falling Sword;Forwards power attacks with a sword cause targets to bleed for 20 seconds. When a bleeding target falls below 25% Health, your attacks against that target are critical strikes that deals ten times critical damage.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06004EFF;Twin Fang;Forwards power attacks with a dagger impale the target, dealing double Bite Marks damage, whether or not the attack is blocked.;One-Handed;50
Ordinator - Perks of Skyrim.esp;06004EED;Man O'War;While dual wielding in combat, build up a battle rage with each attack, gaining 1% extra attack damage and 1% bonus attack speed for 20 seconds. This effect stacks.;One-Handed;60
Ordinator - Perks of Skyrim.esp;06061EFE;Aftershock;After a Thundering Blow, attack speed is increased by 75% for 3 seconds.;One-Handed;90
